Ticker,IssueDate,AssetClass,Industry,sub-industry,Maturity,AnnounceDate,MtyType,Currency,%Women,%IndependentDirectors,AmtIssued,CouponType,BBGComposite,S&PRating,MoodyRating,Country/Region,CO2perEnergy,CO2perSales,CO2perEmployee
ACAFP,10/20/2015,Corporates,Bank,Banks,10/15/2019,10/2/2015,AT MATURITY,TRY,#N/A N/A,#N/A N/A,39315750,FIXED,NR,#N/A N/A,WR,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
TSLAEN,1/14/2016,Corporates,Industrial,Renewable Energy,1/14/2021,1/11/2016,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
AGRBK,10/20/2015,Corporates,Bank,Banks,10/20/2017,10/13/2015,AT MATURITY,CNY,23.07690048,38.46149826,94498800,FIXED,NR,#N/A N/A,WR,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
LATVEN,4/14/2016,Corporates,Industrial,Utilities,6/10/2022,4/7/2016,AT MATURITY,EUR,#N/A N/A,#N/A N/A,28161250,FUNGED,#N/A N/A,#N/A N/A,#N/A N/A,LATVIA,#N/A N/A,#N/A N/A,#N/A N/A
INTNED,11/24/2015,Corporates,Bank,Banks,11/26/2018,11/17/2015,AT MATURITY,USD,33.33330154,100,800000000,FIXED,NR,NR,WR,NETHERLANDS,#N/A N/A,#N/A N/A,#N/A N/A
VDENBZ,7/19/2018,Corporates,Industrial,Power Generation,7/15/2025,7/15/2018,AT MATURITY,BRL,#N/A Field Not Applicable,#N/A Field Not Applicable,36083460,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,BRAZIL,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
ACAFP,7/20/2018,Corporates,Bank,Banks,7/20/2028,7/4/2018,CALLABLE,EUR,#N/A N/A,#N/A N/A,5854700,VARIABLE,#N/A N/A,#N/A N/A,#N/A N/A,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
ACAFP,12/4/2017,Corporates,Bank,Banks,12/4/2029,11/13/2017,CALLABLE,EUR,#N/A N/A,#N/A N/A,947520,VARIABLE,#N/A N/A,#N/A N/A,#N/A N/A,FRANCE,#N/A N/A,#N/A N/A,#N/A N/A
ENERGM,12/18/2018,Corporates,Industrial,Power Generation,12/18/2028,11/9/2018,AT MATURITY,EUR,#N/A N/A,#N/A N/A,113601000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,GERMANY,#N/A N/A,#N/A N/A,#N/A N/A
CHPTBZ,7/30/2018,Corporates,Industrial,Power Generation,4/28/2028,7/6/2018,SINKABLE,BRL,#N/A Field Not Applicable,#N/A Field Not Applicable,761832.84,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,BRAZIL,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
CAPGR,9/12/2018,Corporates,Industrial,Power Generation,9/12/2023,8/1/2018,AT MATURITY,EUR,#N/A N/A,#N/A N/A,58145500,FLOATING,#N/A N/A,#N/A N/A,#N/A N/A,GERMANY,#N/A N/A,#N/A N/A,#N/A N/A
ENOVOS,10/23/2018,Corporates,Industrial,Utilities,10/23/2028,6/13/2018,AT MATURITY,EUR,#N/A N/A,#N/A N/A,287052500,FLOATING,#N/A N/A,#N/A N/A,#N/A N/A,LUXEMBOURG,#N/A N/A,#N/A N/A,#N/A N/A
MANHUM,10/16/2017,Corporates,Industrial,Waste & Environment Services & Equipment,10/16/2024,8/29/2017,AT MATURITY,EUR,#N/A N/A,#N/A N/A,472420000,FLOATING,#N/A N/A,#N/A N/A,#N/A N/A,GERMANY,#N/A N/A,#N/A N/A,#N/A N/A
HUADIA,8/18/2017,Corporates,Industrial,Power Generation,8/18/2022,8/15/2017,PUTABLE,CNY,#N/A N/A,#N/A N/A,224995500,VARIABLE,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
CHENER,8/18/2016,Corporates,Industrial,Renewable Energy,8/18/2023,8/15/2016,PUTABLE,CNY,#N/A N/A,#N/A N/A,301696000,VARIABLE,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
TSLAEN,10/1/2015,Corporates,Industrial,Renewable Energy,10/1/2030,9/28/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
GZYXH,9/3/2018,Corporates,Industrial,Real Estate,9/3/2021,8/28/2018,AT MATURITY,CNY,#N/A N/A,#N/A N/A,146439000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,CHINA,#N/A N/A,#N/A N/A,#N/A N/A
TSLAEN,11/5/2015,Corporates,Industrial,Renewable Energy,11/5/2025,11/2/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
TSLAEN,11/5/2015,Corporates,Industrial,Renewable Energy,11/5/2030,11/2/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
TSLAEN,10/16/2015,Corporates,Industrial,Renewable Energy,10/16/2025,10/13/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
FASTIG,5/16/2018,Corporates,REIT,Real Estate,5/16/2030,5/7/2018,AT MATURITY,NOK,66.66670227,55.55559921,18553950,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,SWEDEN,55.94328265,1.737938858,41.55631277
SOGNOG,5/23/2018,Corporates,Industrial,Power Generation,5/23/2028,5/15/2018,AT MATURITY,NOK,#N/A N/A,#N/A N/A,24662200,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,NORWAY,#N/A N/A,#N/A N/A,#N/A N/A
SSRUBZ,6/29/2018,Corporates,Industrial,Power Generation,11/28/2030,5/28/2018,SINKABLE,BRL,#N/A Field Not Applicable,#N/A Field Not Applicable,9059505,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,BRAZIL,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
JPEXCL,8/10/2018,Corporates,REIT,Real Estate,8/10/2028,8/3/2018,AT MATURITY,JPY,#N/A N/A,#N/A N/A,36127480,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,JAPAN,#N/A N/A,#N/A N/A,#N/A N/A
SINKAM,1/30/2018,Corporates,Industrial,Power Generation,1/30/2026,1/23/2018,AT MATURITY,MYR,#N/A N/A,#N/A N/A,3845655,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,MALAYSIA,#N/A N/A,#N/A N/A,#N/A N/A
TSLAEN,12/17/2015,Corporates,Industrial,Renewable Energy,12/17/2025,12/14/2015,AT MATURITY,USD,22.22220039,77.77780151,5000000,FIXED,#N/A N/A,#N/A N/A,#N/A N/A,UNITED STATES,#N/A N/A,#N/A N/A,#N/A N/A
